Ticker,MARKETCAP,NMVOLUME_AVG_CR_10D,PRICE_HIGHEST_CR_52W,PRICE_LOWEST_CR_52W,OUTSTANDING_SHARES,FREEFLOAT,BETA,PRICE_TO_EARNINGS,PRICE_TO_BOOK,DIVIDEND_YIELD,BVPS_CR
NED,276898500000.0,21051.2,7600.0,6700.0,40500000.0,0.49988024691358024,0.2042569644647798,7.1978863547850755,0.5440877043430462,0.07040418059324988,12565.988801851852
NEM,117685050000.0,296.4,25900.0,10800.0,8848500.0,0.04487924506978584,-0.10785290208184509,,2.3162905369856235,0.0,7986.908250324914
NET,1489491871000.0,2094.3,78218.0,61600.0,22398374.0,0.38735061750464567,0.154152741585806,10.249355478649752,2.5671966956227648,0.09774309537000488,25903.741662408174
NFC,928144340000.0,3349.1,66708.0,37467.0,15731260.0,0.7384511475876694,-0.09581145059927633,6.027181016382458,2.429846803790407,0.03389830508474576,24281.366178297223
NGC,2759824800.0,0.0,2000.0,1200.0,2299854.0,0.27887944191239966,0.09650569646715973,,,,-2748.249645847084
NHA,816340707000.0,121377.9,24031.0,11900.0,64788945.0,0.6804113109111438,0.9829445448947266,17.92300846400173,1.0775060786376978,0.0,11693.66952985575
NHC,62351611000.0,79.5,26500.0,17500.0,3041542.0,0.7103653344257617,-0.025319334391158813,10.47636170721221,1.0280709737198908,0.0,19940.257554227428
NHH,1197418400000.0,40610.0,13200.0,9770.0,112964000.0,0.39269472575333736,0.5554012468907159,8.562533820956581,0.6438936457860398,0.0,16462.34602464502
NHP,8272947000.0,0.0,300.0,300.0,27576490.0,0.8572152583595665,0.0,,,,6068.4822272522715
NHT,372057319000.0,30002.0,15500.0,9900.0,24003698.0,0.39843285603659606,0.15563100199404406,7.90384946606653,1.1419667576102062,0.0,13573.074607212606
NHV,3288067200.0,0.0,800.0,600.0,5480112.0,1.0,0.013175273658366822,5058564.923076923,0.062101193202037,0.0,9661.650107881007
NJC,68968904400.0,110.0,17400.0,11100.0,5224917.0,0.5300093762254979,-0.1527086147340264,5.475746955512608,0.6841386398237848,0.0,19294.334849146886
NKG,6333127966150.0,2943157.9,19900.0,12350.0,447570881.0,0.7974914190183878,0.8259719099699677,41.11099911319856,0.8286450444351144,0.0,17076.069053965108
NLG,12855080649500.0,2303136.5,43066.0,24200.0,485194883.0,0.7454325069623622,1.019392553758411,19.440914820543053,1.0097772412929085,0.014945778378797871,26238.138211805915
NLS,34066640000.0,0.0,6800.0,3500.0,5009800.0,0.17407880554113936,0.15231253691194718,2.115442580519124,0.408572999143669,0.19117647058823528,16643.29266557547
NNC,983112000000.0,44600.1,76500.0,28280.0,21920000.0,0.2048160583941606,0.25489776550466214,5.742710611658028,1.839424094001217,0.02219245777693691,24382.63157814781
NNT,559959619000.0,180.8,68500.0,54100.0,9490841.0,0.7507807790689992,0.3018925521702157,8.574007095725063,1.9741982377734384,0.10278701739205234,29885.54992660819
NO1,130800000000.0,36690.0,7653.0,5450.0,24000000.0,0.37939104166666665,0.4474945002807226,21.35117654073313,0.4278396257108501,0.10989908256880734,12738.418025083334
NOS,16850879316.0,662.0,1100.0,600.0,19525932.0,0.4819107499002792,-0.031606216397534886,,,0.0,-273510.01052420953
NQB,174025060400.0,0.0,10100.0,7600.0,17230204.0,-0.07207715010222746,-0.03223722783163015,12.488663404927598,0.8780396558925061,0.03762376237623762,11502.897314738699
NQN,609979116000.0,90.0,15747.0,10500.0,50831593.0,0.9951863915101391,-0.16022942696537584,8.98165005515277,0.8835229784219751,0.04783333431041596,13581.98970832962
NQT,144042825100.0,0.0,7900.0,7900.0,18233269.0,0.32153131728600065,0.0,8.216957343634554,0.6354413394387463,0.057911784805725806,12432.304147819023
NRC,611145229200.0,1504220.1,7000.0,4500.0,92597762.0,0.8750707495500809,0.7209759792182954,41.5433753285819,0.597150499944304,0.0,11052.49011868127
NS2,880400000000.0,421.4,38700.0,13437.0,56800000.0,0.9968468309859155,-0.07086916895769141,43.29557417955452,1.4958154579647063,0.01096774193548387,10362.24082153169
NSC,1353237732000.0,1080.0,81709.0,71000.0,17574516.0,0.9939350615352669,0.23206035561038527,6.05560215712229,0.8935248712503034,0.025974025974025976,86175.55311275713
NSG,112309704000.0,0.0,13000.0,10200.0,8639208.0,0.9996319107029256,-0.007627083837699575,,,0.0,-3742.356046873741
NSH,107605872400.0,198166.8,5800.0,4000.0,20693437.0,0.478461891081699,0.21740187577253253,26.062100575919022,0.44373369331346213,0.0,11718.74049313316
